message,isTarget,type
fix up makedefaultvaluefortype method,1,1
fix bug .,0,0
fix bug,0,0
optimize result page,1,3
fix ssl race,0,0
fix issue with cooky that contain quote,1,1
fix spdy client bug,0,0
fix parer generator,0,0
fix issue with chunked stream source channel,1,1
fix serveroutputstream bug,0,0
fix some test problem under ipv6,0,0
fix some spdy and mcmp issue,1,1
fix issue with handler parse,1,1
fix routinghandler allmethodsmatcher validation,1,1
fix issue with alpn handshake,1,1
fix query param aggregation problem,1,1
fix edge case where deflatingstreamsinkconduit may leak a deflater,1,1
fix some problem when run with test . single = true,1,1
fix low case header handling,0,0
fix javadoc,0,0
fix some http2 issue,0,0
fix test,0,0
fix some minor proxy issue,0,0
fix npe,1,1
fix some findbugs issue,0,0
fix issue with last commit,0,0
fix idle timeout,1,1
fix input stream bug,0,0
fix some servlet http upgrade issue,1,1
fix websocketextensionbasictestcase,0,0
fix issue with h2c connection,1,1
fix some request chunk bug,0,0
fix potential race in access log test,1,1
fix message,0,0
fix some http response channel bug,1,1
fix some servlet issue,0,0
fix some thread safety problem in websocketchannel,1,1
fix some proxying / http client issue,1,1
fix issue with restore persistent session,1,1
fix potential spdy race,0,0
fix bug in servlet input stream read method,1,1
fix some ajp protocol problem,1,1
fix some issue with the load balance proxy client,1,1
fix metric handler bug,0,0
fix client alpn issue,0,0
fix some minor web socket issue,1,1
fix some npe ' s in servlet,1,1
fix jdk7 / 8 compatibility issue,1,1
fix cookie handling,0,0
fix issue with spdy test,0,0
fix minor bug in securehashmap and httpserverexchange,1,1
fix test issue with proxy test,0,0
reproduce ssl failure,0,0
fix some test suite ipv6 issue,1,1
fix issue with websocket close handle,1,1
fix race in new web socket test,0,0
fix resource handler bug,0,0
fix test,0,0
fix fluent api,0,0
fix flaky test annotatedendpointtest . testclosereason .,0,0
fix issue in request parser fast path,0,0
fix problem with add listener,1,1
fix some servlet spec compatibility issue,1,1
fix issue with spdy proxy,1,1
fix test,0,0
fix internationalization issue,0,0
fix some issue with non - persistent connection,0,0
fix flush problem with print writer inside include,1,1
fix deploymentinfo servletcontainerinitializer spell,0,0
fix extension base security,0,0
fix sendredirect,0,0
fix race condition in gracefulshutdownhandler,1,1
fix some http client bug,0,0
fix some caching bug,0,0
fix some more issue with the framed channel,1,1
fix some minor test issue,0,0
fix some web socket jsr compliance issue,1,1
fix spnego problem with spdy,1,1
fix test,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
modify group,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
retry connect,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix my profile,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix some small thing,0,0
fix various memory leak report by leakcanary,1,1
fix # 53 aka server not find bug,0,0
fix some r8 warning,0,0
fix problem when merging manifest,1,1
shut up linter,0,0
fix some minor npe,1,1
fix # 326 fixed # 202,0,0
recreate activity after theme have change . fix # 764,0,0
fix some disco / carbon relate bug,0,0
fix two rare npe,1,1
parse iq erros also need to finish the connection,1,1
spell fix,0,0
fix openpgp link,0,0
fix some npe,1,1
fix markdown heading,0,0
fix some rare crash cause by race condition,1,1
fix the bug ?,0,0
fix some failing slowitests,0,0
featurizing knn,0,0
fix tree balance check .,1,1
fix broken test,0,0
fix jointbayesslowitest,0,0
merge change,0,0
restore change,0,0
fix the model and file path for 2013,0,0
fix hyphenation on number,0,0
fix the kryo itest,0,0
fix the protobuf test,0,0
fix the build,0,0
merge change,0,0
fix bug in nercombinerannotator when document end with -,1,1
try change,0,0
fix a bug when load serialize model,1,1
fix arrayindex exception,1,1
fix regression on double contraction i ' d ' ve . add unit test .,1,1
fix the openie itest,0,0
fix corenlp console ; fix slf4j lazy loading,1,1
fix a new treebank tokenization noun premodifier case,1,1
fix the openie itest,0,0
"fix # 379 : timingtest be locale dependant , fails .",1,1
fix unit test,0,0
fix unk mapping,0,0
fix an exceedingly silly bug,0,0
fix the model and file path for 2013,0,0
fix the document entity graph generator,0,0
fix some bug to run code properly,0,0
fix `` no doubt `` idiom and it friend,1,1
make it so timeexpressionextractorimpl don't init twice in corenlp,1,2
fix the next sutime x,0,0
fix javadoc error,0,0
fix minor tokenizing regression .,1,1
fix whitespace tokenization bug,1,1
fix build,0,0
fix sutime range for quarter .,0,0
fix serialversionuid,0,0
fix some url and address .,1,1
fix numbersequenceclassifieritest .,0,0
fix wts selection,0,0
fix tokensregexnerannotator .,0,0
fix whitespace tokenization bug,1,1
fix classpath,1,1
fix arpa lm,0,0
fix build ?,0,0
fix string comparison bug,1,1
fix misc bug with kbp,1,1
fix up eclipse / intellij configs,1,1
fix unk mapping,0,0
fix tree . dominates to match the documentation,1,1
fix some remain spanishverbstripper reference,1,1
fix lexicalizedparseritest for ud,0,0
fix naturalli class for universal dependency,0,0
fix rte test error,0,0
fix universal chinese relation code / tests .,0,0
make it so timeexpressionextractorimpl don't init twice in corenlp,1,2
fix the itest,0,0
merge change,0,0
fix broken test,0,0
fix bug in objectbankwrapper ( toarray ( ) ) spot by @ kno10,1,1
fix some warning here and there,0,0
fix numbersequenceclassifieritest .,0,0
fix some dependency ; fix test filesystem dependency,0,0
fix some failing test,0,0
fix some javadoc error . no change to code .,0,0
fix onlinetuner bug,0,0
fix subject2 again,0,0
fix the openie test,0,0
incorporated 2012 data,0,0
fix the kryo itest,0,0
fix jointbayesslowitest,0,0
fix problem with sort interval for tokensregex .,1,1
fix `` nada que ver `` normalization,0,0
fix redwood compilation bug,1,1
fix the document entity graph generator,0,0
fix javadoc error,0,0
fix some basic relation .,0,0
fix a random assortment of javadoc error,0,0
fix some openie bug,0,0
fix cyclic infinite loop,1,1
fix line ending,0,0
indent change,0,0
fix tokensregexnerannotator .,0,0
fix the annoy library classpath bad path element message,1,1
fix some javadoc and indentation ; no functional change .,0,0
spell fix,0,0
spell fix,0,0
fix integration test,0,0
resolve issue # 377,0,0
fix minor issue,0,0
fix the possible creation of two index,1,1
resolve issue # 690,0,0
merge # 662,0,0
resolve issue # 815,0,0
spell fix,0,0
fix issue 1278 ( # 1279 ),0,0
fix most javadoc warning,0,0
fix broken auto styling ( # 815 ),1,1
fix realtime database head level ( # 1087 ),1,1
fix sample issue ( # 1716 ),0,0
fix monolith pom generation,0,0
fix nosuchmethodexception,1,1
fix broken play service check ( # 462 ),1,1
fix miss term of service ( # 1094 ),1,1
fix getcontext npe in savecredentialsorfinish,1,1
fix broken database test ( # 705 ),0,0
fix broken ` minsdkversion `,1,1
fix the taskbar show on invisible activity .,1,1
fix the term of service url,0,0
fix issue 1582 ( # 1604 ),0,0
fix issue # 60,0,0
kill signindelegate a ? ? ? ? ? ( # 1190 ),0,0
fix email controller test so `` . / gradlew auth : test `` run cleanly,1,1
fix possible infinite loading,1,1
fix bad sign out / delete behavior ( # 1240 ),1,1
catch setfirebaseuiversion crash ( # 1236 ),0,0
fix rotation bug,0,0
fix some formatting,0,0
fix unit conversion,0,0
spring session,0,0
optimize string resource,1,3
protect elivedata,0,0
optimize demo,0,0
fix fragmentdelegateimpl bug,0,0
fix clientmodule bug,0,0
imporve rxcacheconfiguration,1,3
create materialviewpagerimageheader,0,0
# 135 ? ? ? / * keep orderby * /,0,0
"startrow , endrow , total int long ? ? ? ? ? ? fixed # 530",0,0
cod search,0,0
fix the error of parse collection page,1,1
fix some,0,0
modify some,0,0
modify some,0,0
modify some,0,0
modify some,0,0
modify some,0,0
modify some,0,0
fix some,0,0
fix some,0,0
modify some,0,0
fix some,0,0
fix some,0,0
modidy some,0,0
modify some,0,0
modify some,0,0
fix some,0,0
modify some,0,0
fix some,0,0
fix some,0,0
fix some,0,0
fix some,0,0
fix some,0,0
fix some,0,0
modify some,0,0
modify some,0,0
fix some,0,0
fix some,0,0
fix some,0,0
modify some,0,0
modify some,0,0
modify some,0,0
fix some,0,0
modify some,0,0
modify some,0,0
modify some,0,0
opt threadpool name,0,0
optimize code,0,0
fix the bug of cpu metric,1,1
fix the problem of log sync threadpool oversize,1,1
fix the workflow result transfer fail bug,1,1
fix the hugo 404 in gitee page,1,1
fix the bug of lrucache oversize,1,1
optimize instancemetadatacache,1,3
opt log,0,0
fix some bug,0,0
fix the bug of uncorrect statistic of job,1,1
fix the bug of incorrect memory usafe,1,1
"pa all test , fix some error",0,0
fix # 269,0,0
fix # 269,0,0
fix some bug when swipe,0,0
fix some exist bug,0,0
optimise ultimateadapter,1,3
fix deserialization for marginaccountresponse,1,1
fix review issue,0,0
fix trade timestamp,1,1
fix issue # 3226,0,0
fix warning,0,0
fix travis build,0,0
fix exception when save empty label,1,1
fix all tag only select visible tag,1,1
fix method not find on api 7 .,1,1
deprecate menudrawermanager .,1,3
fix name resolution .,0,0
fix more test .,0,0
fix more test .,0,0
fix some bug concern nest mate .,0,0
fix closing of android dex file .,1,1
fix several test .,0,0
fix length computation .,1,1
fix further test .,0,0
fix java 6 compiler and findbugs error .,1,1
fix more test .,0,0
fix mapping .,0,0
fix maven plugin .,0,0
fix unfortunate name for exclusion rule .,1,1
fix all interceptor .,0,0
fix the remain test case .,0,0
fix two test that do not work on j9 .,0,0
fix javadoc .,0,0
fix test .,0,0
fix all remain source incompatibility .,1,1
fix far name asynchronities .,0,0
fix test to consider nest mate .,0,0
fix method call visibility .,1,1
fix name to match maven terminology . fix test .,1,3
fix preservation again after adjustment .,0,0
fix all broken test case .,0,0
fix several todos .,0,0
fix checkstyle .,0,0
fix all test case .,0,0
fix enhancer creation so that setusecache ( false ) be respect again .,1,1
fix some ant bug,0,0
transform test,0,0
"fix bitset problem , parallelsorter test",1,1
transform test,0,0
fix some bug,0,0
fix some renaming bug,0,0
fix verifier error . null interceptor be now ignore .,1,1
fix permgen leak by store class instance a string,1,1
fix test,0,0
fix issue of nullpointerexception when frontier / be empty,1,1
fix # 1409 by addig an additonal check,1,1
fix cryptofilesystem,0,0
fix bug where store password be not use,1,1
fix some string format foolishness .,0,0
fix validation for set binding .,0,0
fix issue with problem detector when use at runtime .,1,1
fix some checkstyle issue .,0,0
fix several problem with membersinjectors .,0,0
fix some issue with multibindings .,0,0
"fix # 56 , error when generate javadoc with jdk8",1,1
add liteblockingwaitstrategy back,0,0
fix remain format issue,1,1
fix squid : s1854 - dead store should be remove,1,1
fix some javadoc error,0,0
fix checkstyle,0,0
deprecate resetto method .,1,3
fix warning .,0,0
fix bug in case when while value be null,1,1
fix some of sort test,0,0
fix casttodate with format error,1,3
fix issue 2779 asm,0,0
fix flaky testcase for issue # 2428,0,0
fix approach # 222,0,0
fix flaky testcases for issue # 2430,0,0
optimize testcase,0,0
optimize fastjsonredisserializer .,1,3
serializeusing bug,0,0
optimize method,0,0
optimize code,0,0
optimize import,0,0
fix flaky testcases for issue # 1780,0,0
fix issue # 89,0,0
fix the count,0,0
fix filesystem / classloader related unit test,0,0
hbase - 9389 . fix the verification part of favored node assignment,1,1
fix testsnapshotfromclient and testflushsnapshotfromclient ( ted yu ),1,1
fix package / packet terminology problem in chaos monkey ( # 933 ),1,1
fix testhfilearchiving # testarchiveontabledelete,1,1
fix javadoc warning,0,0
fix unresolved merge conflict ( ted yu ),1,1
fix toomanyfiles exception when refreshingchannels,1,1
fix resource location to reflect repackaging,1,1
fix flushmode,0,0
fix suppliedconnectiontest failure .,1,1
fix putfromload test,0,0
fix checkstyle issue,0,0
fix locktimeoutpropertytest,0,0
apply the patch .,0,0
fix transactionjoiningtest,0,0
fix classloader isolation test,0,0
fix checkstyle violation,0,0
fix transactionrequiredexception failure .,1,1
hhh - 8363 some more mem leak fix,0,0
fix masterdetailtest,0,0
fix ` ffmpegframegrabber ` not grab after seek and update test,1,1
fix issue # 263,0,0
fix a bug report in # 228,0,0
fix # 152 inner class modifier .,1,1
fix some thing that break jboss aop,1,1
fix some test,0,0
solve travis issue,0,0
fix potential regression with parse to string .,1,1
fix nest generic ( fixes # 431 ),0,0
fix some typecache usage,0,0
fix special case of re - reading the request ( fixes # 658 ),1,1
fix the signature issue,0,0
fix compilation error,0,0
fix some miss - usage of typedcache,1,1
fix test,0,0
fix # 763 .,0,0
fix last compilation problem,0,0
fix javadoc etc .,0,0
fix two bug in prop,0,0
fix test,0,0
fix parallel access for methref .,1,1
fix servlet util name,1,1
fix non - quote string parsing when inside bracket ( fix # 407 ),1,1
fix broken test,0,0
optimize method = dv faceting for count,1,3
fix most deprecation warning,0,0
reformat space,0,0
fix similarity so that they pass test .,0,0
investigate solrcloudexampletest failure .,0,0
fix collectionadminrequest . splitshard to accept request without the ' shard ' parameter,1,1
fix precommit .,0,0
fix deep clone,0,0
fix precommit,0,0
fix some test issue ( mostly static leak ),0,0
fix npe in childdoctransformer when parenfilter be invalid,1,1
investigate reindexcollectiontest failure,0,0
optimize docvaluesfacets,1,3
fix javadocs after deprecation removal,0,0
fix precommit,0,0
fix more charset / locale usage,0,0
fix break charsref # append,0,0
fix break html,0,0
fix more javadocs warning,0,0
fix jdbcstreamtest,0,0
fix edgengramtokenfilter to correctly handle graph input .,1,1
fix a bug with prohibited clause .,1,1
fix break generic,0,0
fix constructor .,0,0
fix test bug .,0,0
fix remain auxilliary class warning in solr,1,1
fix some javadoc warning,0,0
fix testbulkschemaconcurrent failure,1,1
fix index sort corruption due to numeric overflow,1,1
fix index sort test failure .,1,1
deprecate positionfilter .,1,3
fix impl .,0,0
fix scorer getchildren for two combination of booleanquery,1,1
fix some nocommits,0,0
fix spiclassiterator # isparentclassloader to don't require extra permission,1,2
fix more test,0,0
fix npe in cloudsolrclient when read stale alias,1,1
fix monster test so they pass .,0,0
favor an already initialized threadstate,0,0
fix precommit,0,0
ensure number return for pendingdeletes be well define,1,3
fix some more test,0,0
"fix javadocs , sorry !",0,0
fix precommit,0,0
fix precommit,0,0
fix rawresponsewriter to respect ' base ' writer,0,0
fix precommit,0,0
fix small issue with termvectorsreader . clone,0,0
"fix some bad javadocs html , make abstractpluginloader actually readable",1,1
fix worddelimiterfilter offset,0,0
fix test,0,0
fix broken bound for geocircles .,1,1
fix replicationhandler memory leak through solrcore . closehooks,1,1
fix the test and another bug,0,0
fix more test,0,0
fix mlt like text with custom frequency,1,1
fix precommit,0,0
fix indexupgrader command line parse,1,1
deprecate dancing comparators,1,3
fix one more violation in this breakiterator,0,0
fix standardtokenizer ' s handling of cjk character .,1,1
fix more violation,0,0
fix test error,0,0
fix all doclint warning,0,0
fix memoryindex handling of empty string,1,1
harden testsimpolicycloud,0,0
fix downgrade in performance from precommit,1,1
fix 2 more case of int overflow,0,0
fix testmanagedschemathreadsafety npe failure .,1,1
fix intermittent test failure ( # 1307 ),0,0
fix geo3d math to handle randomly squash planet,1,1
fix precommit,0,0
fix classname shorten,1,1
fix formatting .,0,0
fix lucene54docvaluesformat on large empty segment .,1,1
fix faulty implementation .,0,0
optimize spannearquery,1,3
fix test case .,0,0
"fix thaiwordfilter , smartcn wordtokenfilter",0,0
fix some javadoc error in numeric *,0,0
fix test to survive nightly run with many document,1,1
fix some more test only tokenstreams,0,0
fix geo3d bug re minimum error resolution,1,1
fix precommit,0,0
fix javadoc .,0,0
fix testjmxintegration that use obsolete apis .,1,1
fix varargs precommit warning,1,1
fix ( uncapitalize ) spi name .,0,0
fix corruption of biginteger value,1,1
fix more charset / locale violation,0,0
fix precommit,0,0
deprecate disjointspatialfilter ; rpt stop use it,1,3
fix usagetrackingfiltercachingpolicy ' s handling of null docidsets .,1,1
fix precommit,0,0
fix test failure due to global log level change,1,1
raise so timeout,0,0
fix localization test failure .,0,0
fix thread starvation problem,1,1
fix compilation .,0,0
fix configsetbasedir path resolution,1,1
fix more factory arg bug find by testfactories,1,1
fix all warning from javadoc - solrj,0,0
fix license location and cloudsolrclient leak,1,1
fix precommit,0,0
fix remain test .,0,0
fix spellingqueryconverter to recognize term consist only of digit,1,1
fix precommit,0,0
"fix npe , this should lazy - init in start ( )",1,1
fix some javadoc warning,0,0
fix decimaldigitfilter in case of supplementary code point .,1,1
fix memorypostingsformat to not modify borrow bytesref from fstenum,1,2
fix precommit issue .,0,0
"detect negative version , fix another seekexact case",1,1
"deprecate customscorequery , boostedquery , boostingquery",1,3
consolidate test,0,0
fix some race in zkstatereader collection watch update,1,1
fix termspans # skipto ( ) to behave a specify in javadocs,0,0
fix solrcorestate reference counting .,0,0
fix error ' illegal character in query ' when proxying request,1,1
fix commitwithin test which time out,1,1
fix precommit,0,0
fix multispanswrapper,0,0
fix gradle precommit failure,1,1
fix the equal method of geocomplexpolygon,1,1
unignore this test,0,0
spell fix,0,0
fix multithreaded test / support for atomicurp,0,0
"add todos , fix whitespace",0,0
fix overflow in interval faceting when query long limit,1,1
fix simplespanfragmenter bug with adjacent stop - words,1,1
fix onedimensionbkdwriter valuecount validation,1,1
harden testsimgenericdistributedqueue,0,0
fix precommit,0,0
fix break build,0,0
fix test failure .,0,0
fix test bug .,0,0
fix solrrequestinfo error log if querysenderlistener be be use,1,1
fix segmentinfo . attributes when update be involve,1,1
fix npe when invalid qparser be specify,1,1
fix integer overflow .,1,1
fix these lucene test to work under all locale,1,1
fix remain issue with default matchversion,1,1
fix precommit issue .,0,0
fix remain todo,0,0
"fix jvmmetricstest broken earlier , bring back testtechproductsexample ( )",1,1
fix problem with variable assignment,0,0
fix contrib / misc,0,0
fix peersynctest and testinplaceupdatesdistrib failure,1,1
harden deletereplicatest,0,0
fix more default charset us,0,0
fix highlighter on index w / position but no offset,0,0
fix failure in autoaddreplicasintegrationtest and it sub - class .,1,1
fix line detection bug in polygon2d and line2d componentrelatetriangle,1,1
fix wrong package name in test and miss super . teardown ( ),1,1
fix some issue w / concurrency and exception swallowing in simclusterstateprovider / simcloudmanager,1,1
fix bug in multidocvalues,0,0
fix the leaderinitiatedrecovery ' all replicas participate ' fail - safe .,1,1
fix polygon approximation for latlonpoint query,1,1
fix miss header,0,0
fix more violation,0,0
fix testsolrcloudwithkerberosalt .,0,0
move remain solr factory test ( lucene - 3909 ),0,0
fix precommit,0,0
fix precommit failure .,0,0
fix more broken link,0,0
fix more default charset us,0,0
fix these test to also ' mimic ' previous iwc . clone,0,0
fix yet another case where we can not tile .,0,0
fix wrong ngramfilterfactory argument name for preserveoriginal option,1,1
fix more locale violation,0,0
fix issue with arrow not enable when set maxdate,1,1
fix javadoc warning,0,0
optimize decorator to only be call once,1,3
fix - range selection order ( # 818 ),0,0
fix harmless but log nullpointerexceptions in test,1,1
ate ioexception,1,1
fix concurrency issue,0,0
fix nullpointer on query with wrong class,1,1
fix of issue # 8281,0,0
fix schema manipulation issue,1,1
fix # 4961,0,0
fix mt problem with sequence,1,1
fix return type on match return json,1,1
optimize error message for ocommandsqlparsingexception,1,3
fix two bug relate to resultset navigation through resultsetmetadata,1,1
fix udp multicast node discovery,0,0
fix issue # 5405,0,0
fix test issue,0,0
fix automatic backup test,0,0
fix backward compatiblility issue with custom tinkerpop predicate,1,1
manage exception of hazelcast not active,1,1
fix potential crash that cause install execution to block,1,1
fix most the issue with the new message mgmt,0,0
fix timeout for select,1,1
fix distribute test fail because of default cluster,1,1
fix security resource cache,1,1
fix edge traversal use edge class alias,1,1
fix index usage in tx,0,0
fix ocontainscondition for iterables and single value,1,1
fix new create property rich syntax,1,1
fix live query with ridbags,1,1
fix of issue # 6853,0,0
fix execution plan string representation,1,1
fix match triangle pattern,1,1
fix oplog recovery,0,0
"fix the fetch plan with no limit , issue # 3955",1,1
fix column security on create,1,1
fix wildcard resolution in distributed cluster config,1,1
fix lightweight edge management,0,0
fix npe with remote storage . support of multi - super - classes,1,1
fix issue # 2343 . fix random test failure .,0,0
fix javadoc,0,0
fix issue with distributed cfg,1,1
fix last sync problem,0,0
fix some compilation warn due to deprecation .,1,1
fix security optimization,1,3
fix faiing test,0,0
fix last test,0,0
fix security optimization,1,3
fix last test,0,0
fix case sensitive property name in schema,1,1
fix match when target be a big result set,1,1
fix polymorphic edge traversal,0,0
fix batch script test case,0,0
fix persistent oplog instantiation,0,0
fix initial merging problem,1,1
fix bug on array realloc inline .,1,1
fix command interrupt,0,0
fix issue # 4060 : wrong recursion detection,1,1
fix issue # 5233,0,0
fix last distributed testcase,0,0
build failure be fix .,0,0
fix execution of return inside if statement,1,1
fix graph batch insert test case,0,0
fix last sync problem,0,0
fix astar ( ) function,0,0
optimize import,0,0
fix last failing test with pessimistic lock,1,1
fix execution planning of inner traverse statement,1,1
fix simple config leaf type,1,1
fix title level in undertow reference guide,1,1
fix codeflowtest,0,0
fix broken use graalvm json configuration file,1,1
fix server side content negotiation,1,1
"fix # 2703 , npe in exception handler",1,1
fix property name to allow docker to work,1,3
fix kafkastreams liveness to allow rebalancing state,0,0
fix broken test example,0,0
fix hibernate cache random failure # 694,1,1
optimize classpath resource,1,3
fix request hang issue when challenge complete exceptionally,1,1
fix minor assertion infelicity,1,1
fix problem with incorrect type in resulthandle,1,1
fix issue with last commit,0,0
make rest data hal collection name configurable,0,0
fix the private key location in the smallrye - jwt guide,1,1
"fix # 2479 , configurable context path",1,1
fix cnfe when messagebundles be use with dev - mode,1,1
fix condition that always evaluate to false,1,1
fix jacoco report,0,0
fix break gradle buildnative,0,0
fix kubernetes guide,0,0
fix possible timeouts on devtools project generation test,1,1
fix jbang classloader issue,1,1
fix arc hot deployment support,1,1
fix the handling of the port 0,0,0
collect field first,0,0
"fix # 2400 , servletcontainerinitializer support",0,0
fix configrecorder miss classloader assignment,1,1
fix circular dependency,0,0
fix break kafka quickstarts,0,0
fix wrong name in @ configproperties example,1,1
fix transaction node id issue,1,1
fix break ' includeall ' in liquibase,1,1
fix deepclone issue with supplier,1,1
fix documentation format issue,0,0
fix the doc build,0,0
fix install when use uberjar,0,0
fix hot replace,0,0
fix the timing message on boot,0,0
fix broken kubernetes extension,1,1
fix issue with primitive type in spring data jpa,1,1
fix unclosed inputstreams,0,0
