message,isTarget,type
fix dataflow worker status page render ( # 11812 ),1,1
populate requirement for timer family .,0,0
fix string literal,0,0
fix getsideinputs,0,0
honor the bound source timestamps timestamp .,0,0
fix checkstyle violation,0,0
fix python coverage reporting,0,0
fix apisurface to work with java 11,1,1
fix macos ib record test,0,0
fix nullability widening in cogroup key resolution,1,1
fix potential non - threadsafe use of cipher ( # 3682 ),1,1
fix test,0,0
fix cassandrasessionfactory creation ( # 4056 ),0,0
fix import,0,0
fix npe with delegated authn,1,1
fix test case,0,0
fix npe on mfa ( # 4097 ),1,1
fix jdbc groovy password encoder ( # 4689 ),1,1
fix saml decode issue ( # 3595 ),0,0
lack interruptskipped transition ( # 3856 ),0,0
fix test,0,0
fix test & improvement,0,0
fix test case,0,0
fix operand order for find by type ( # 4085 ),0,0
fix the mongo expireat field for rememberme tgts ( # 3386 ),1,1
fix test,0,0
fix test,0,0
fix unmodifiablecomponentexception during saml2 slo ( # 4445 ),1,1
fix aliasing of typedefs,0,0
fix some change reporting violation find in sanity compiles .,0,0
fix some bug,0,0
fix an infinite loop bug in @ record handling,1,1
pull rhino from head .,0,0
fix crash when try to collapse setter in collapseproperties,1,1
fix crash,0,0
fix lint error in newtypeinference and jstypes .,1,1
don't index symbol generate during es6rewritedestructuring pas .,1,2
fix travis ci issue with gwt compose sourcemaps,1,1
fix the way getters be handle in peepholefoldconstants,1,1
fix bug with parse exponential literal,1,1
fix @ nocollapse for property get,1,1
fix some violation of the ` equals - hashcode ` contract in ` namedtype ` .,0,0
fix bug in equalitychecker and namedtype # isnominaltype,1,1
fix processcommonjsmodules to not rewrite name function expression .,1,1
fix incorrect scoping of catch variable .,1,1
fix strange ast structure for destruct inside var / let / const .,1,1
fix bug in analyzepropaccess,0,0
fix an inexistent - property spurious warning .,0,0
fix `` too many type parameter `` warning .,0,0
produce few unnecessary union when parse jstype expression .,0,0
fix issue with equlity on template type .,1,1
fix crash relate to cyclic union type .,1,1
fix crash in spread transpilation,1,1
fix ie11 issue .,0,0
fix bug when checkaccesscontrols run with nti .,1,1
fix crash when instantiate with loose object .,1,1
fix assort type system bug and crash .,1,1
fix some errorprone unused variable / assignment warning,0,0
create removeunusedvarsprototypepropertiestest,0,0
fix incorrect hoisting of template string array .,1,1
catch variable be not require for es2019 output,0,0
fix crash when check for stringifiable object .,1,1
fix bug in livevariablesanalysis relate to es6 destructuring .,0,0
fix bug where type be unexpectedly drop from union,1,1
fix bug in rescopeglobalsymbols es6 output involve destructuring,1,1
fix bug in ntiscope # isglobalvar .,0,0
fix problem with export and function / class declaration .,1,1
fix some test before move destructuring transpilation,1,1
fix npes in processcommonjsmodules cause by multiple var declaration,1,1
fix instantiation that use ? and other type .,0,0
fix issue with reflected object and enums .,1,1
fix infinite rotation issue .,0,0
fix disambiguateproperties whenever an inferface be unioned with,0,0
fix node location info for typeof jsdoc .,0,0
fix some crash introduce by internal change .,1,1
fix the definition of assignment - target .,0,0
fix various eclipse warning .,0,0
fix crash in collapseproperties relate to comma expression .,1,1
fix issue with namespace - name clashing .,1,1
fix printing comma expression a rh of destructuring _ lhs,0,0
fix jsdocinfoprinter to output parenthesis around union type .,1,1
fix closure compiler javadoc issue for java 8 conformance .,1,1
fix nodetraversal # traverseatscope and use it in typedscopecreator,1,1
fix error message reporting to be clear .,0,0
optimize j2cl string . equals pattern .,1,3
fix exponential time behavior of uniontype # appendto,1,1
fix es6syntacticscopecreator to not generate duplicate declaration,1,1
fix bug in livevariableanalysis affect dead assignment elimination .,1,1
fix conflict,0,0
fix correctness issue around equality . $ same optimization,1,1
fix a crash in the type - only summary generator,1,1
fix some bug in typedscopecreator around destructuring,1,1
fix incorrect specializing of union type .,0,0
fix compilertestcase # testexternschanges,0,0
fix issue 965,0,0
fix native module check crash cause by conformancepassconfig,1,1
fix linter warning with new unit test .,0,0
fix bug in optimizeargumentsarray around arrow function,1,1
fix typeicompilertestcase . typeinferencemode enum to follow style guideline .,1,1
fix generateexport ' s handling of class expression,1,1
fix detection of goog . js .,0,0
fix checkclosureimports to work correctly in module,1,1
fix bug when cast from truthy / falsy type .,1,1
fix a crash regard recursive template type .,1,1
fix nodeutil . evaluatestolocalvalue to handle spread node .,0,0
fix issue with externexportspass .,1,1
create removeunusedcodenameanalyzertest,0,0
fix some change reporting violation find in sanity compiles .,1,1
fix bug in jsdocinfoprinter for params without type .,1,1
optimize disambiguateproperties .,0,0
fix a bug relate to record type .,1,1
fix javadoc error to make maven happy .,0,0
fix edge case when fold parseint and parsefloat call .,1,1
fix jsdocinfoprinter ' s handling of multiple suppression,1,1
fix issue with hana geometry data transfer,1,1
fix formatting,0,0
commit fix,0,0
fix wkb parse issue in hana plugin,1,1
build fix,0,0
fix the exit message toggle,0,0
fix the `` administer / database parameter `` function that fail to,0,0
fix package dependency,1,1
group panel fix,0,0
rebuild index # 3503,0,0
debug config ui fix,0,0
build config fix,0,0
log fix,0,0
fix db2roles,0,0
fix url for ignite jdbc driver,1,1
address # 8742,0,0
record mode row selection fix,0,0
fix function of opaquevariablesset,0,0
fix a couple samediff training issue ( # 253 ),0,0
fix some test problem .,0,0
optimize array copy,1,3
fix compiler warning,0,0
fix integration test that fell out from some benchmarking .,1,1
fix warning,0,0
fix javadoc doclint html warning ( # 1653 ),0,0
fix broken example .,0,0
fix primitive wrapping and casting .,1,1
move test dirs,0,0
move test dirs,0,0
fix findbugs warning in hadoop - yarn - applications - mawo - core module ( # 1852 ),1,1
optimize tokencache # obtaintokensfornamenodesinternal,1,3
fix unit test failure for testcontainersqlcli & testscmmetrics .,1,1
fix core test failrues,0,0
fix minor scheduler test case failure,0,0
deprecate fileutil # copymerge . contribute by brahma reddy battula .,1,3
fix testnamenodemetrics for hdfs - 2832 .,0,0
fix testcontainersqlcli . contribute by shashikant banerjee .,0,0
fix hdfs - 2235 fi test failure .,0,0
fix teststoragecontainermanager # testrpcpermission . contribute by mukul kumar singh .,0,0
fix gpuresourceplugin # getnmresourceinfo to honor auto discovery enable,0,0
containerrequest # executiontyperequest cause npe . contribute by jian he,1,1
fix distributedshell unit test . contribute by abhishek modi .,0,0
fix testblockrecovery # testracebetweenreplicarecoveryandfinalizeblock . contribute by kihwal lee .,0,0
fix raid javadoc warning . ( jason lowe via daryn ),0,0
optimize rmcontext getexclusiveenforcedpartitions . contribute by jonathan hung .,1,3
fix invalid event : ta _ too _ many _ fetch _ failure at success _ finishing _ container .,0,0
fix failures in testsecureozonecluster . contribute by ajay kumar .,0,0
fix checkstyle violation introduce by hdds - 1738,0,0
fix finicky testcontainermanager test . contribute by arun suresh .,0,0
fix decoding of codepoint zero in utf8 .,1,1
fix the randomized selection of location in { { providedblocksbuilder } } .,0,0
fix testkeys # testputandgetkeywithdnrestart . contribute by mukul kumar singh .,0,0
fix some long function checkstyle issue,0,0
deprecate writeablerpcengine . contribute by wei zhou,1,3
fix some alert raise by lgtm .,0,0
fix core test failrues,0,0
fix findbugs and license issue relate to :,0,0
fix capacityscheduler rest api json output .,0,0
fix symlinkbasetest # testcreatelinkusingpartqualpath2 . ( liang xie via gera ),0,0
fix issue with nn / dn re - registration .,0,0
the accesstime of filestatus return by sftpfilesystem ' s,0,0
fix potential npe in inmemoryleveldbaliasmapserver .,1,1
fix the logger in testalignedplanner and testgreedyreservationagent .,0,0
fix checkstyle issue ( # 1475 ),0,0
fix checkstyle error,0,0
fix testozonemanagerratisserver test failure . contribute by bharat viswanadham .,0,0
fix metric type for griddatastreamexecutor ( # 6695 ),0,0
fix checkstyle rule for ml ( # 7736 ),0,0
fix wrong remotetx type detection . this close # 6315 .,0,0
migrate transactionmetricsmxbean ( # 6733 ),0,0
fix javadoc . ( # 7512 ),0,0
fix some warning,0,0
fix xsd,0,0
fix insert javadoc,0,0
fix regression,0,0
fix some warning,0,0
fix some slightly out of date link,0,0
fix parameter order,0,0
fix some warning,0,0
fix ddlinterpreter and altertableimpl in os edition,0,0
deprecate arrayrecord . set ( array ),1,3
fix behaviour for h2 and hsqldb,0,0
interpret drop index,0,0
fix some warning,0,0
inlining float and double don't work correctly on all,0,0
fix github url,0,0
fix some warning,0,0
fix warning,0,0
fix more regression,0,0
interpret create index,0,0
fix postgresql absent on null emulation,1,1
fix some test,0,0
fix date arithmetic do not support fractional second,1,1
fix known limitation of embeddable type,0,0
fix broken loader test,0,0
fix some compiler warning,0,0
fix race condition cause by tool # parser,1,1
fix the npe,1,1
generate fetchby [ columnname,0,0
fix javadoc error,0,0
fix javadoc error,0,0
fix issue # 2344,0,0
move hasjavadoccomment,0,0
fix warn,0,0
clean difference,0,0
fix nodemetamodelreference,0,0
create issue test,0,0
fix some more parent management,0,0
fix error in reset token manager,1,1
fix error,0,0
deprecate evil string constructor,1,3
fix ifstmr,0,0
fix more test,0,0
rebase master ( # 16 ),0,0
fix forgotten bit of name,0,0
fix generic propagation for field,0,0
deprecate method in typeusage,1,3
deprecate duplicate parent find code,1,3
fix eol behaviour of import in lexical preservation,1,1
fix test,0,0
resolve # 1574,0,0
fix some javadoc issue,0,0
resolve compilation issue follow rebase,0,0
fix lookahead for referencetype ; fix # 2879,0,0
stack overflow fix,0,0
fix wrong type param,0,0
rescue some test,1,1
fix storetokens flag,0,0
fix javadoc formatting,0,0
fix bad javadoc,0,0
fix test,0,0
solves issue # 1839 .,0,0
fix test,0,0
fix more warning in printer package # 1001,0,0
fix parent ownership of nameexprs,1,1
fix indentation realignment when wrap call - chains,1,1
fix some easy javadoc related intellij issue,0,0
fix eol fix method,0,0
fix bug in addimport,0,0
resolve enum constant declaration,1,1
fix observer test,0,0
fix broken import,0,0
deprecate array bracket access to prepare for # 592,1,3
migrate two test that need manual adjustment,0,0
merge # 479,0,0
make printasimplemethodaddingastatement pas,0,0
move createvariabledeclarationexpr,0,0
create dependabot config file,0,0
fix some warning,0,0
fix build,0,0
fix window test problem,0,0
fix some test,0,0
fix module declaration test,0,0
fix preference for organize import,1,1
fix hostsfilenameservice for ipv6 literal address,1,1
optimize call to systemdictionaryshared,1,3
optimize locale creation,0,0
optimize atomic accumulator use varhandle getandset,1,3
fix exceptioncheckingjnienv system,0,0
optimize cldrcalendardataproviderimpl,0,0
optimize string concatenation setup when use primitive operand,1,3
optimize uuid # fromstring,0,0
fix failure message from jtreg gtest wrapper,1,1
fix legal header in jdk logging test,1,1
fix potential crash in bufimg _ setupicm,1,1
fix javadoc warning,0,0
fix remain mention of initial mark,0,0
fix local base image temp directory cleanup ( # 2018 ),0,0
fix spell mistake ( # 199 ),0,0
fix some warning ( # 2355 ),0,0
decrypts maven proxy setting ( # 1582 ),0,0
optimize insecure registry failover by cache failover history ( # 2132 ),1,3
fix more error prone issue ( # 2369 ),0,0
fix integration test ( # 2583 ),0,0
fix some pending checkstyle check ( # 2279 ),1,1
normalize line ending,0,0
as1 / 2 good deobfuscation,0,0
build newversion only when test be okay,0,0
build fix,0,0
build fix,0,0
printing fix,0,0
build fix,0,0
as3 good deobfuscation,0,0
"fix some tag ,",0,0
as1 / 2 good deobfuscation,0,0
justify text,0,0
fix ip highlighting,0,0
fix iskilled to pass test,0,0
"issue # 185 , # 186 indentation on onclip action",0,0
issue # 336 : graph window be too small,0,0
do not instantiate million of arraylist,1,2
as1 / 2 good deobfuscation,0,0
"fix header field , field printer",0,0
build fix,0,0
fix some findbugs warning in kafka stream,1,1
fix thread state change to instance state change ( # 6018 ),1,1
fix the logic of rocksdbwindowstore use rocksdbstore segment,1,1
fix topologytestdriver output order ( # 8065 ),1,1
fix retrywithbackoff deadlock issue,1,1
fix findbugs issue in connect / runtime,1,1
cherrypicking state deadlock fix from 0 . 11,0,0
fix concurrentmodificationexception in transactionmanager ( # 4608 ),1,1
resume task should not be initialize twice ( # 4562 ),0,0
fix findbugs multithreaded correctness warning for stream ( # 8929 ),1,1
fix wrong setting of serde in ` meteredtimestampwindowstore ` ( # 6808 ),1,1
fix equality semantics of keyvalue,0,0
fix flaky globalktableeosintegrationtest ( # 8600 ),0,0
fix npe in kafka stream with eos enable ( # 5187 ),1,1
fix miss value . deserializer error during kafkaconsumer initialization,1,1
fix assertionerror when sourcetask . poll return an empty list ( # 7491 ),1,1
deprecate old papi registration method ( # 9448 ),1,3
fix streamingmetrics,0,0
fix queryablestateintegrationtest ( # 9521 ),0,0
fix topologytestdriver to handle stream create with pattern ( # 4793 ),1,1
fix futurerecordmetadata . get when timeunit be not ms ( # 5815 ),1,1
fix processortopologytestdriver to support multiple source topic,1,1
fix session expiration and suppression ( # 6654 ),0,0
fix race condition in kafkaconsumer close,0,0
fix race condition when metadata update arrive during rebalance,1,1
fix negative estimatedcompressionratio ( # 8285 ),0,0
fix flaky test assignedstreamstaskstest # shouldclosecleanlywithsuspendedtaskandeos ( # 7302 ),0,0
fix npe for null in header ( # 6484 ),1,1
optimize integration test shutdown ( # 8366 ),1,3
fix broken standbytaskeosintegrationtest ( # 8330 ),0,0
fix standby streamtime ( # 5288 ),0,0
fix fetchprevious to find the correct session,1,1
fix bug in connect rest extension api ( # 7392 ),1,1
fix deadlock between streamthread and kafkastreams,1,1
fix header in bytearrayconverter,0,0
fix generic type of processorparameters ( # 5741 ),0,0
fix kstreamrepartitionjointest,0,0
fix the warning when use globalktable ( # 7104 ),1,1
fix possible concurrent modification exception ( # 6643 ),1,1
fix streampartitionassignor regression in repartition topic count ( # 7904 ),1,1
fix kstreamktablejointest and streamtasktest ( # 9357 ),0,0
optimise performance of ` topic . validate ( ) `,0,0
fix some google error - prone issue,0,0
fix # 571 pluggable config loader for master branch,0,0
fix fail test case for config module,1,1
fix inspection test,0,0
fix # 96 : @ value and @ wither not play well together,0,0
fix some setting issue,0,0
fix very annoy bug with wrong typeelement processing :,1,1
fix delombok configuration,0,0
fix some of stackoverflow exception,1,1
fix eofexception on empty json column operation,1,1
fix formatting,0,0
fix our own deprecation warning,0,0
fix boolean cli args not use false,1,1
fix another datetime test .,0,0
consolidate setcatalog call,0,0
fix pojocodec caching ( # 585 ),0,0
deprecate dbconnector & dbapilayer,1,3
deprecate threadpool,0,0
fix the functionalty for replica set,1,1
fix basicdblist,0,0
deprecate dbcollectionfindoptions # getmodifiers,1,1
fix name of bsoncallbackadapter,0,0
fix infinite loop when parse invalid regular expression,1,1
fix more findbugs warning .,0,0
fix findbugs warning .,0,0
fix npe error with conventionsetprivatefield,1,1
deprecate mongoclient # getcredentiallist,1,3
cleaning main,0,0
fix queryflags usage,0,0
fix webserver serve folder name like index file,1,1
fix event loop shutdown timing fragility ( # 9616 ),1,1
fix header and initial line length counting,1,1
fix sharable check logic,0,0
fix intermittent test failure,0,0
fix bug : schedule task may not be execute ( # 9980 ),1,1
fix a bug where httpobjectdecoder generate two lasthttpcontent consecutively,1,1
fix possible npe when try to fullfill connect channelpromise,1,1
fix indexoutofboundsexception in messagetomessageexception,1,1
miss dot,0,0
fix memory leak,0,0
deprecate integerholder for removal ( # 8339 ),1,3
fix overriden method not call in trafficshaping,1,1
fix possible infinite - loop when cancel task,1,1
fix memory leak in defaulthttp2headers,1,1
fix possible corruption of first websocketframe cause by websocketserverhandshaker *,1,1
fix the dead lock describe in # 1175,1,1
fix some findbugs warning,0,0
fix incorrectly encode empty socks5 address ( # 8292 ),1,1
backport the pull request # 174 to fix # 163,0,0
fix buffer leak in defaultfullbinarymemcacherequest / response,1,1
fix more compilation error,0,0
fix illegalstateexception trigger by a successful connection attempt,1,1
fix possible illegalstateexception cause by closenotifytimeout when use sslhandler,1,1
optimize pooledbytebufallocator,0,0
fix unchecked warning,0,0
fix epoll spliceto file descriptor with offset ( # 9369 ),1,1
fix author,0,0
fix broken test introduce by dc615ecaaf9749edd227413c32c2f288dfc1309e,0,0
fix some inspector warning,0,0
fix possible bytebuf leak when compositebytebuf be resize ( # 8946 ),1,1
fix the haproxy message mem leak issue ( # 9250 ),1,1
fix the xml decoder,0,0
fix concurrency problem in uniqueipfilter ( # 8635 ),1,1
fix datagrammulticasttest failure,0,0
fix inspector warning,0,0
fix checkstyle,0,0
fix npe problem,1,1
fix regression in chunkedwritehandler . see # 310,0,0
fix possible npes and indexoutofboundsexceptions in http / 2 codec ( # 10640 ),1,1
fix a bug of dnsnameresolver while work with noopdnscache .,1,1
fix invalid memory access in aio writes,1,1
optimize some code ( # 9289 ),0,0
fix compilation error,0,0
fix example,0,0
fix incorrect exception handling,0,0
fix formatting,0,0
fix the issue that findbugs raise,0,0
fix more inspection warning + compilation error,1,1
optimize framedecoder and replayingdecoder,1,3
fix a bug where asynchronouscloseexception cause indexoutofboundsexception during write,1,1
catch throwable,0,0
fix # 7566 by handle concatenate gzip stream .,1,1
fix compiler warning,0,0
fix # 239 : idlestatehandler start two timer,1,1
fix test - failures introduce 325cc84a2ebbf4f5e362ec9ca09202b4647bd100 on java7,0,0
fix a bug where spdyheaderblockzlibdecoder fail to decompress,1,1
fix name issue in rxtxchannelconfig / format cleanup,1,1
fix name,0,0
fix inspector warning,0,0
fix capacity check bug affect offheap buffer,1,1
fix localaddresstest,0,0
fix illegalbufferaccessexception in httppostrequestdecoder,1,1
fix buffer leak introduce by # 2462,1,1
fix buffer leak during pem to keystore conversion,1,1
fix indexoutofboundsexception when multipart / form - data be incorrect value ( # 9688 ),1,1
fix npe trigger by unresolveable inetsocketaddress in epoll transport,1,1
fix leak and corruption bug in compositebytebuf ( # 8438 ),1,1
fix reflectivebytebufchecksum with direct buffer ( # 9244 ),1,1
fix socketshutdownoutputbypeertest failure,0,0
fix compilation error,0,0
fix illegalaccesserror when javassist be use,1,1
fix checkstyle,0,0
fix more memory leak in buffer test,1,1
asciistring optimize hashcode,0,0
fix example,0,0
optimize abstractbytebuf . getcharsequence ( ) in us _ ascii case ( # 8392 ),0,0
fix visibility warning from the inspector .,1,1
fix test failure and report leak,0,0
fix checkstyle issue introduce by fdcad3150efde5676a4b895236703710ae15e9e4,0,0
fix snappyframeddecodertest,0,0
fix unit test that sometimes fail due timeouts ( # 10698 ),1,1
fix buffer leak,1,1
fix incorrect conditional statement,1,1
fix false - positive leak,0,0
deprecate bytebufindexfinder,1,3
fix race - condition when allocate from multiple - thread .,1,1
fix nioeventlooptest # testchannelsregistered flakiness ( # 9650 ),1,1
fix test failure introduce by 78d8f05c218cab107255c4dc1a1344aef138d379,0,0
fix regression when write different message type,1,1
"fix cookie date parsing , close # 6016",1,1
fix all remain checkstyle violation,0,0
fix more checkstyle error,0,0
fix indexoutofboundsexception for compositebytebuf # 4679,1,1
fix checkstyle,0,0
fix checkstyle problem,0,0
fix overly - strong type cast,0,0
fix infinite recursion,0,0
fix offset calculation in pooledbytebufallocator when use,1,1
deprecate promiseaggregator,0,0
fix all xlint : unchecked warning,0,0
fix issue 289 .,0,0
fix xpath syntax error .,0,0
pas more test .,0,0
fix some compiler warning,0,0
do some improvement base on findbugs report .,0,0
fix search path . close # 69,0,0
fix main split pane color,0,0
deprecate astcatchstatement : : getblock for # 2202,1,3
deprecate reporttree,0,0
fix issue with rhino localization,1,1
fix getslice,0,0
fix bad import,0,0
fix apex rule,0,0
fix nc test,0,0
fix the rulechain usage,0,0
fix checkstyle,0,0
fix two bug with qname regex parsing,1,1
deprecate baselanguagemodule constructor,1,3
fix pr comment,0,0
fix cs,0,0
fix astformalcomment classcastexception,1,1
fix null pointer with variablenamingdeclaration,1,1
fix # 1424 false positive with ternary operator,1,1
fix wild npe,1,1
fix another miss hit,0,0
fix illegal javadoc - miss / extra parameter .,0,0
fix compilation,0,0
fix synchronization problem,1,1
fix package privateism,0,0
fix doc,0,0
fix scope tab focus loss,0,0
fix scala text bound,0,0
fix unneeded recompilation cause loss of node focus,1,1
fix custom parser spec,0,0
fix the bugfix,0,0
fix header height in node info panel,0,0
fix compilation,0,0
optimize import,0,0
fix test,0,0
fix xpath expression not persist,0,0
fix toc link,0,0
fix avoiddeeplynestedifstmtsrule,0,0
verify # 959 stringtostring false positive,0,0
fix focus problem,0,0
fix java7 compatibility,0,0
"fix pmd dogfood : avoidprefixingmethodparameters , unnecessaryconstructor ,",1,1
fix xml / invaliddependencytypes property,0,0
fix unit test,0,0
move test,0,0
fix several place where rule be erroring out,0,0
fix bug with maven incremental compil,0,0
fix checkstyle,0,0
fix object table substitution clause for create table,1,1
fix branch build by fix checkstyle error,1,1
fix joinclause precede by subquery,0,0
fix typehelper array loading,0,0
fix highlighter,0,0
fix # 25,0,0
fix chain method line count for type,0,0
fix bug 1277373 - inefficientstringbuffering now catch more case .,1,1
deprecate astyieldstatement implement typenode,1,3
fix inconsistent versioning,0,0
fix index bug,0,0
fix test,0,0
fix wrong implementation of hasimageequalto,0,0
fix checkstyle warning,0,0
deprecate cansuppresswarnings follow # 1927,1,3
fix cache,0,0
fix pmd dogfood : unusedprivatefield,0,0
deprecate rulesetfactory constructor,1,3
fix cyclo miscount ternary,0,0
create unusedformalparamterrule,0,0
fix checkstyle,0,0
fix checkstyle error,0,0
fix deprecate xpath attribute not find,1,1
fix checkstyle issue,0,0
deprecate astpackagedeclaration # getpackagenameimage,1,3
fix cyclomatic complexity rule,0,0
fix 581853,0,0
fix violation of pnd rule,0,0
fix test,0,0
fix unit test,0,0
fix the problem . should work now .,0,0
fix pr comment,0,0
fix incremental analysis page title,0,0
fix unused local variable bug,0,0
resolve conflict,0,0
fix sed script to be macosx compatible,0,0
deprecate propertydescriptorfactory,0,0
fix rule,0,0
deprecate dcd,0,0
fix some stuff pmd find,0,0
fix bug with getimage override,1,1
deprecate velocity stuff,1,3
fix possible npe,1,1
fix stdcyclomaticcomplexityrule,0,0
